<<<<<<< HEAD
﻿Date,Pollster,Client,Area,Sample Size,Lab,Con,Ref,LD,Greens,SNP,PC,Others,Lead
03/07/2025,More in Common[3],N/A,GB,2532,24,19,29,12,9,3,1,3,5
01/07/2025,YouGov,*The Times/Sky News*,GB,2392,24,17,26,16,10,3,1,2,2
29/06/2025,Opinium,*The Observer*,GB,2050,25,17,30,12,9,2,1,3,5
28/06/2025,BMG Research,The i Paper,GB,1617,27,19,30,12,7,2,1,2,3
26/06/2025,Techne,N/A,UK,1628,23,18,28,16,8,3,,4,5
26/06/2025,Find Out Now,N/A,GB,2605,22,18,30,13,11,3,1,2,8
24/06/2025,YouGov,N/A,GB,1794,23,17,27,16,10,3,1,3,4
21/06/2025,Ipsos,N/A,GB,1810,25,15,34,11,9,,,6,9
18/06/2025,Find Out Now,N/A,GB,2628,23,16,31,12,11,3,2,1,8
16/06/2025,YouGov,*The Times/Sky News*,GB,2255,24,17,27,15,10,4,1,2,3
16/06/2025,Find Out Now,N/A,GB,2032,21,22,29,13,9,3,,,7
13/06/2025,Opinium,*The Observer*,GB,2050,24,18,30,12,9,3,1,3,6
12/06/2025,Find Out Now,N/A,UK,2651,24,16,30,3,11,3,1,2,6
11/06/2025,More in Common,N/A,GB,2073,24,20,28,14,7,,,,8
10/06/2025,YouGov,The Times/Sky News,UK,1611,23,17,29,15,10,3,2,1,6
06/06/2025,Techne,N/A,UK,1628,23,17,31,15,8,2,0,4,8
05/06/2025,Find Out Now,,GB,1962,22,16,31,15,11,3,1,2,9
02/06/2025,More in Common,N/A,GB,2016,23,21,28,14,8,2,1,3,5
01/06/2025,YouGov,*The Times/Sky News*,GB,1524,22,18,28,17,9,3,1,2,6
30/05/2025,Opinium,The Observer,GB,2050,25,17,31,11,10,2,1,2,6
29/05/2025,Opinium,N/A,UK,1647,22,16,31,16,9,2,0,4,9
28/05/2025,Techne,N/A,GB,2447,22,16,32,13,11,3,–,2,10
27/05/2025,Find Out Now,The Times/Sky News,GB,1524,21,19,29,15,11,2,1,2,8
26/05/2025,YouGov,N/A,GB,2000,22,19,31,14,8,2,1,3,9
22/05/2025,More in Common,N/A,UK,1641,22,17,30,16,9,2,1,4,8
21/05/2025,Techne,N/A,GB,2501,21,16,32,14,11,2,–,2,11
19/05/2025,Find Out Now,The Times/Sky News,GB,2222,22,16,29,17,10,2,1,2,7
19/05/2025,YouGov,N/A,GB,2090,22,21,30,14,8,2,1,1,8
16/05/2025,More in Common,The Observer,GB,2050,25,18,29,13,10,2,1,3,4
15/05/2025,Opinium,N/A,UK,1645,22,18,29,15,9,2,1,5,7
14/05/2025,Techne,N/A,GB,2557,21,16,33,14,11,3,–,2,12
12/05/2025,Find Out Now,The Times/Sky News,GB,2310,23,18,28,16,9,3,1,3,5
12/05/2025,YouGov,N/A,GB,2094,25,20,28,14,8,2,1,1,3
11/05/2025,More in Common,City AM,GB,1250,22,19,32,15,8,3,1,2,10
08/05/2025,Freshwater Strategy,N/A,UK,1635,23,19,28,14,8,3,–,5,5
08/05/2025,Techne,The i Paper,GB,1525,22,19,32,13,9,3,–,2,10
07/05/2025,BMG Research,N/A,GB,2210,20,16,33,15,11,3,0,1,13
06/05/2025,Find Out Now,The Times/Sky News,GB,2187,22,17,29,16,10,3,1,1,7
05/05/2025,YouGov,True North Advisors,UK,2032,25,18,30,13,7,3,1,3,5
04/05/2025,Survation,N/A,GB,2212,23,21,27,15,8,3,1,3,4
02/05/2025,More in Common,The Observer,GB,2050,26,19,27,13,9,3,1,2,1
02/05/2025,Opinium,N/A,UK,1056,26,22,26,12,7,3,1,3,Tie
30/04/2025,Survation,N/A,GB,1990,21,19,29,13,11,3,0,3,8
28/04/2025,Find Out Now,The Times/Sky News,GB,2214,23,20,26,15,9,3,1,2,3
27/04/2025,YouGov,N/A,GB,2009,24,23,24,15,8,2,1,4,Tie
25/04/2025,More in Common,The Observer,GB,2050,26,21,26,11,9,3,1,2,Tie
24/04/2025,Opinium,N/A,UK,1642,25,21,25,14,8,2,1,5,Tie
23/04/2025,Techne,N/A,GB,2139,20,20,28,14,13,3,–,2,8
22/04/2025,Find Out Now,The Times/Sky News,GB,2012,23,20,25,16,10,3,0,2,2
21/04/2025,YouGov,N/A,GB,2004,23,23,25,14,8,3,1,4,2
16/04/2025,More in Common,N/A,GB,2288,22,20,28,14,10,3,1,3,6
14/04/2025,Find Out Now,The Times/Sky News,GB,1691,24,21,23,14,11,3,1,2,1
14/04/2025,YouGov,N/A,GB,2277,24,23,24,14,8,3,1,4,Tie
14/04/2025,More in Common,N/A,GB,1585,24,24,23,13,9,2,1,4,Tie
14/04/2025,Focaldata,N/A,GB,5263,27,24,21,11,11,3,1,3,3
11/04/2025,Lord Ashcroft Polls,The Observer,GB,2050,27,22,26,12,7,3,0,3,1
10/04/2025,Opinium,N/A,UK,1644,24,22,24,15,8,2,2,5,Tie
09/04/2025,Techne,N/A,GB,2546,22,21,26,14,11,3,1,3,4
07/04/2025,Find Out Now,The Times/Sky News,GB,1775,24,22,23,17,9,3,–,2,1
07/04/2025,YouGov,N/A,GB,2058,24,23,24,17,7,2,1,1,Tie
06/04/2025,More in Common,City AM,GB,1250,22,27,28,14,5,2,1,3,1
03/04/2025,Freshwater Strategy,N/A,UK,1631,24,23,24,13,8,3,0,5,Tie
02/04/2025,Techne,N/A,GB,2768,22,20,28,13,11,3,–,3,6
01/04/2025,Find Out Now,N/A,GB,16176,24,24,24,13,8,2,–,4,Tie
31/03/2025,More in Common (MRP),The Times/Sky News,GB,2392,24,21,23,14,11,3,1,3,1
31/03/2025,YouGov,N/A,GB,2081,21,26,25,13,7,2,–,4,1
28/03/2025,More in Common,The Observer,GB,2050,26,22,26,12,8,3,1,2,Tie
28/03/2025,Opinium,PLMR[50],GB,5180,24,22,27,12,10,3,1,3,3
27/03/2025,"Find Out Now
 

=======
Date,Pollster,Client,Area,Sample Size,Lab,Con,Ref,LD,Greens,SNP,PC,Others,Lead,3
31/03/2025,YouGov,N/A,GB,2081,21,26,25,13,7,2,–,4,1,
28/03/2025,More in Common,The Observer,GB,2050,26,22,26,12,8,3,1,2,Tie,
28/03/2025,Opinium,PLMR[50],GB,5180,24,22,27,12,10,3,1,3,3,
27/03/2025,"Find Out Now
 

>>>>>>> ba49898 (re-add polls)
 Electoral Calculus",The i Paper,GB[52],1544,26,24,23,14,8,3,1,1,2,
27/03/2025,BMG Research,N/A,UK,1642,25,23,24,14,8,2,1,4,1,
26/03/2025,Techne,N/A,GB,2745,23,22,26,12,11,3,1,2,3,
24/03/2025,Find Out Now,The Times/Sky News,GB,2333,23,22,22,16,10,3,–,3,1,
24/03/2025,YouGov,N/A,GB,2432,24,25,24,12,10,3,1,3,1,
21/03/2025,More in Common,The Observer,GB,2078,26,21,26,13,8,3,1,3,Tie,
20/03/2025,Opinium,N/A,UK,1644,27,23,23,14,7,2,1,4,4,
19/03/2025,Techne,N/A,GB,2770,22,21,27,14,11,3,1,2,5,
17/03/2025,Find Out Now,The Times/Sky News,GB,2315,26,22,24,14,9,3,–,2,2,
17/03/2025,YouGov,N/A,GB,1974,25,25,23,11,9,3,1,2,Tie,
17/03/2025,Deltapoll,N/A,GB,2432,25,24,25,12,7,2,1,4,Tie,
17/03/2025,More in Common,N/A,GB,5111,30,24,19,1,11,3,1,3,6,
13/03/2025,Lord Ashcroft Polls,N/A,UK,1638,27,22,24,14,7,2,1,4,3,
12/03/2025,Techne,N/A,GB,2686,24,21,27,11,10,3,0,2,3,
10/03/2025,Find Out Now,The Times/Sky News,GB,2291,24,22,23,15,9,3,–,3,1,
10/03/2025,YouGov,N/A,GB,2041,25,23,25,14,8,2,1,2,Tie,
09/03/2025,More in Common,The Sun,GB,2012,26,24,23,14,7,3,1,3,2,
07/03/2025,JL Partners,The Observer,GB,1498,28,20,27,12,8,3,1,2,1,
06/03/2025,Opinium,N/A,UK,1632,28,21,25,13,7,2,1,4,3,
05/03/2025,Techne,N/A,GB,2670,25,21,26,12,10,3,1,2,1,
03/03/2025,Find Out Now,The Times,GB,2222,26,21,25,14,9,3,–,2,1,
02/03/2025,YouGov,City AM,GB,1215,24,23,27,15,7,3,1,2,3,
02/03/2025,Freshwater Strategy,N/A,GB,2010,26,24,24,13,7,2,1,2,2,
28/02/2025,More in Common,N/A,GB,1008,24,22,21,14,8,3,–,5,2,
27/02/2025,Focaldata,N/A,UK,1643,26,22,25,13,8,2,1,4,1,
26/02/2025,Techne,N/A,GB,3363,23,21,28,13,10,3,1,1,5,
26/02/2025,Find Out Now,The i,GB,1586,26,22,27,12,8,3,–,1,1,
24/02/2025,BMG Research,Sky News / The Times,GB,2415,24,22,25,16,8,3,1,2,1,
24/02/2025,YouGov,N/A,GB,2013,23,25,24,16,8,2,1,2,1,
21/02/2025,More in Common,The Observer,GB,2050,28,21,26,12,8,3,1,2,2,
20/02/2025,Opinium,N/A,UK,1639,25,22,26,12,7,3,0,5,1,
19/02/2025,Techne,N/A,GB,2393,24,20,28,12,10,2,–,2,4,
18/02/2025,Find Out Now,N/A,GB,4101,25,23,26,12,7,2,–,3,1,
17/02/2025,More in Common,N/A,GB,2436,25,21,27,14,9,3,1,1,2,
17/02/2025,YouGov,N/A,GB,5099,28,23,23,9,11,2,1,3,5,
13/02/2025,Lord Ashcroft Polls,N/A,UK,1637,26,22,25,12,8,2,1,5,1,
12/02/2025,Techne,N/A,GB,3421,23,21,29,12,9,3,0,2,6,
10/02/2025,Find Out Now,N/A,GB,2419,25,21,26,14,9,3,–,1,1,
10/02/2025,YouGov,N/A,GB,2005,25,23,25,12,8,2,1,3,Tie,
07/02/2025,More in Common,The Observer,GB,1493,27,22,26,11,8,3,1,2,1,
06/02/2025,Opinium,N/A,UK,1645,25,23,25,13,7,2,1,5,Tie,
05/02/2025,Techne,N/A,GB,2487,25,18,29,13,10,3,1,2,4,
03/02/2025,Find Out Now,Sky News[95],GB,2465,24,21,25,14,9,3,–,2,1,
03/02/2025,YouGov,N/A,GB,2044,24,26,24,13,6,3,1,3,2,
02/02/2025,More in Common,City AM,GB,1200,29,28,22,9,7,3,1,2,1,
30/01/2025,Freshwater Strategy,N/A,UK,1633,26,23,24,12,7,3,1,5,2,
29/01/2025,Techne,N/A,GB,2487,23,21,27,11,10,3,–,3,4,
29/01/2025,Find Out Now,The i,GB,1514,25,25,24,14,8,3,–,1,Tie,
29/01/2025,BMG Research,N/A,UK,1670,27,22,24,13,8,3,1,4,3,
27/01/2025,Survation,The Times,GB,2523,27,22,23,14,9,3,1,2,4,
27/01/2025,YouGov,N/A,GB,2009,25,24,25,13,7,2,–,3,Tie,
29/01/2025,More in Common,PLMR,GB,5743,23,23,24,11,8,3,1,6,1,
<<<<<<< HEAD
24/01/2025,"Find Out Now
 

=======
24/01/2025,"Find Out Now
 

>>>>>>> ba49898 (re-add polls)
 Electoral Calculus",The Observer,GB,2050,28,21,27,11,8,3,1,2,1,
23/01/2025,Opinium,Daily Express,GB,2012,25,20,24,12,13,3,1,3,1,
23/01/2025,Whitestone Insight,N/A,UK,1643,25,24,24,13,7,2,1,5,1,
22/01/2025,Techne,N/A,GB,2380,22,23,26,12,10,3,–,3,3,
20/01/2025,Find Out Now,The Times,GB,2466,26,22,24,14,9,3,–,2,2,
20/01/2025,YouGov,N/A,GB,2016,24,25,25,12,7,3,1,3,Tie,
20/01/2025,More in Common,Institute for Government,GB,1500,29,25,22,11,8,3,1,2,4,
20/01/2025,Deltapoll,N/A,GB,5251,28,25,20,11,9,3,1,3,3,
16/01/2025,Lord Ashcroft Polls,N/A,UK,1624,26,25,23,12,7,2,–,5,1,
15/01/2025,Techne,N/A,GB,2386,24,25,25,12,10,3,0,2,Tie,
14/01/2025,Find Out Now,The Sunday Times,GB,2007,26,25,22,13,9,2,–,3,1,
13/01/2025,JL Partners,The Times,GB,2279,26,22,25,14,8,3,1,2,1,
13/01/2025,YouGov,N/A,GB,1587,24,25,24,12,8,3,1,3,1,
10/01/2025,More in Common,The Observer,GB,2050,29,23,24,1,9,2,1,2,5,
08/01/2025,Opinium,N/A,GB,2076,25,20,25,11,11,3,1,2,Tie,
08/01/2025,Find Out Now,N/A,GB,2011,26,26,22,12,7,3,1,2,Tie,
06/01/2025,More in Common,City AM,GB,1207,28,29,23,12,5,3,1,1,1,
03/01/2025,Freshwater Strategy,Mail on Sunday,GB,1532,30,23,22,12,9,3,1,1,7,
